Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
mlp_pca_sig_50_5_10,-0.6277408513251682,0.116,2.4876324860596597,0.9248,Weak model,True,50,5,10
mlp_pca_sig_50_5_5,-0.6025975286285231,0.1284,-4.222581164187588,0.8819,Weak model,True,50,5,5
mlp_pca_sig_50_3_50,-0.6770560989692627,0.0818,25.53237956711446,0.3448,Weak model,True,50,3,50
mlp_pca_sig_50_3_20,-0.6770560989692627,0.0818,25.53237956711446,0.3448,Weak model,True,50,3,20
mlp_pca_sig_50_3_10,-0.6770560989692627,0.0818,25.53237956711446,0.3448,Weak model,True,50,3,10
mlp_pca_sig_50_3_5,-0.6613773705438201,0.09,19.85308874971946,0.4637,Weak model,True,50,3,5
xgb_sig_fs_nogarch_50_20,-0.7352495283414312,0.0893,49.069284622886755,0.2061,Weak model,False,,50,20
mlp_pca_sig_50_5_50,-0.6277408513251682,0.116,2.4876324860596597,0.9248,Weak model,True,50,5,50
xgb_sig_fs_nogarch_50_10,-0.7352495283414312,0.0893,49.069284622886755,0.2061,Weak model,False,,50,10
xgb_sig_fs_nogarch_50_5,-0.7984110831686508,0.0624,48.6391978952345,0.2056,Weak model,False,,50,5
xgb_sig_fs_nogarch_8_50,-0.7318949146252114,0.0911,57.357119057221205,0.1384,Weak model,False,,8,50
xgb_sig_fs_nogarch_8_20,-0.7318949146252114,0.0911,57.357119057221205,0.1384,Weak model,False,,8,20
xgb_sig_fs_nogarch_8_10,-0.7318949146252114,0.0911,57.357119057221205,0.1384,Weak model,False,,8,10
xgb_sig_fs_nogarch_8_5,-0.7947083467414521,0.0638,56.92793453761542,0.1379,Weak model,False,,8,5
mlp_pca_sig_50_5_20,-0.6277408513251682,0.116,2.4876324860596597,0.9248,Weak model,True,50,5,20
mlp_pca_sig_50_8_5,-0.32563612779368645,0.4236,-2.643817558068738,0.9298,Weak model,True,50,8,5
mlp_pca_sig_75_50_5,-0.3711316246101153,0.3842,12.316044493175179,0.6935,Weak model,True,75,50,5
mlp_pca_sig_75_5_10,-0.5021371978853849,0.2261,36.02228477401452,0.2577,Weak model,True,75,5,10
mlp_pca_sig_75_8_50,-0.4562229884978124,0.2766,36.98724468601934,0.2123,Weak model,True,75,8,50
mlp_pca_sig_75_8_20,-0.4562229884978124,0.2766,36.98724468601934,0.2123,Weak model,True,75,8,20
mlp_pca_sig_75_8_10,-0.4562229884978124,0.2766,36.98724468601934,0.2123,Weak model,True,75,8,10
mlp_pca_sig_75_8_5,-0.4305941854989287,0.3055,30.956966246326516,0.3038,Weak model,True,75,8,5
mlp_pca_sig_75_5_50,-0.5021371978853849,0.2261,36.02228477401452,0.2577,Weak model,True,75,5,50
mlp_pca_sig_75_5_20,-0.5021371978853849,0.2261,36.02228477401452,0.2577,Weak model,True,75,5,20
mlp_pca_sig_75_5_5,-0.49886539857182943,0.2283,28.366366035749955,0.3741,Weak model,True,75,5,5
mlp_pca_sig_50_8_10,-0.3507923363088036,0.3902,5.5499344633831775,0.8496,Weak model,True,50,8,10
mlp_pca_sig_50_50_50,-0.34004341516419245,0.4116,2.3687804409044713,0.9352,Weak model,True,50,50,50
mlp_pca_sig_50_50_20,-0.34004341516419245,0.4116,2.3687804409044713,0.9352,Weak model,True,50,50,20
mlp_pca_sig_50_50_10,-0.34004341516419245,0.4116,2.3687804409044713,0.9352,Weak model,True,50,50,10
mlp_pca_sig_50_50_5,-0.3152881063092503,0.4453,-5.868139746706637,0.8361,Weak model,True,50,50,5
mlp_pca_sig_50_8_50,-0.3507923363088036,0.3902,5.5499344633831775,0.8496,Weak model,True,50,8,50
mlp_pca_sig_50_8_20,-0.3507923363088036,0.3902,5.5499344633831775,0.8496,Weak model,True,50,8,20
rf_nofs_50_8_5,-0.36005410686106576,0.4111,45.02947617876048,0.0815,Weak model,True,50,8,5
rf_sig_fs_90_5_5,-0.303452873970089,0.4973,39.855721512863994,0.2378,Weak model,True,90,5,5
xgb_sig_90_3_5,-0.5905704653958838,0.1667,51.185567518821344,0.1411,Weak model,True,90,3,5
rf_nofs_90_8_5,-0.24720117691596788,0.5875,3.3736910592916693,0.9205,Weak model,True,90,8,5
xgb_nofs_50_50_20,-0.513899235010171,0.2649,16.855149474652414,0.5283,Weak model,True,50,50,20
xgb_nofs_50_50_50,-0.513899235010171,0.2649,16.855149474652414,0.5283,Weak model,True,50,50,50
rf_nofs_90_50_5,-0.22841407799269065,0.6159,-19.743992237775792,0.5469,Weak model,True,90,50,5
rf_nofs_90_8_50,-0.2188533559136383,0.6363,34.61716666065709,0.267,Weak model,True,90,8,50
rf_nofs_90_8_20,-0.2188533559136383,0.6363,34.61716666065709,0.267,Weak model,True,90,8,20
rf_nofs_90_8_10,-0.2225920236452441,0.6292,32.7153346490662,0.2953,Weak model,True,90,8,10
xgb_nofs_75_3_5,-0.7885447646513122,0.0596,19.692287588060683,0.519,Weak model,True,75,3,5
xgb_nofs_75_3_10,-0.7539160637495257,0.0721,28.712092783008302,0.3531,Weak model,True,75,3,10
xgb_nofs_75_3_20,-0.7539160637495257,0.0721,28.712092783008302,0.3531,Weak model,True,75,3,20
xgb_nofs_75_3_50,-0.7539160637495257,0.0721,28.712092783008302,0.3531,Weak model,True,75,3,50
xgb_nofs_75_5_5,-0.6648494176796731,0.1185,-2.0842948321012607,0.9483,Weak model,True,75,5,5
rf_nofs_90_3_5,-0.40116329200383427,0.3692,39.07801154174903,0.2287,Weak model,True,90,3,5
xgb_nofs_75_5_10,-0.6303830777192415,0.1385,7.593854161221911,0.8119,Weak model,True,75,5,10
xgb_nofs_75_5_20,-0.6303830777192415,0.1385,7.593854161221911,0.8119,Weak model,True,75,5,20
xgb_nofs_75_5_50,-0.6303830777192415,0.1385,7.593854161221911,0.8119,Weak model,True,75,5,50
xgb_nofs_75_8_5,-0.683299019493128,0.1091,11.56091861279551,0.7054,Weak model,True,75,8,5
rf_nofs_nogarch_8_5,-0.2948309250643135,0.5174,-7.361884600756197,0.8309,Weak model,False,,8,5
rf_sig_fs_50_5_5,-0.383258781546299,0.371,42.329303853749394,0.0869,Weak model,True,50,5,5
rf_nofs_90_5_5,-0.3590056178675799,0.4325,9.735850377458268,0.77,Weak model,True,90,5,5
xgb_nofs_75_8_20,-0.6485156552869622,0.1332,20.341365378498878,0.5038,Weak model,True,75,8,20
xgb_nofs_75_8_50,-0.6485156552869622,0.1332,20.341365378498878,0.5038,Weak model,True,75,8,50
