Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
XGB,0.08415846849822972,0.019469905844812674,0.20906221971882694,-0.04541703848000869,-0.07588175170905287,-0.09812144078624208,0.11254127160751592,0.051407135191699094,-0.3787393670588466,101,31.060606060606062,8,10,0.012410860128442364,-0.010390515732147547,1.0202518623381953,59.65909090909091,170,0.16098484848484848,-0.02129291608326825,-0.03253855019041205,9.435294117647059,55,2023-04-18 00:00:00,2023-06-12 00:00:00,0,2021-05-25 00:00:00,2021-05-25 00:00:00
XGB-FS,0.16800842191101073,0.037755543647441936,0.1914315175339205,0.04325384342293185,-0.04684750068459087,-0.06804968459216842,0.2390189786902558,0.12377890145705099,-0.3050240647073639,41,29.545454545454547,8,9,0.011762811031340172,-0.009524923975224508,1.044185913399768,55.68181818181818,190,0.17992424242424243,-0.019896991425729187,-0.029083425049987337,7.705263157894737,56,2023-04-18 00:00:00,2023-06-13 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
Pure XGB,-0.04876951839019805,-0.011860654262539905,0.21026888389133347,-0.19360783674042767,-0.10300787152708546,-0.12685831631780609,-0.07073073883871678,-0.029586742979509452,-0.40087732099319284,155,32.29166666666667,8,10,0.01209899463005244,-0.009711060598930862,0.9880263865983971,62.02651515151515,238,0.22537878787878787,-0.021627827745453236,-0.03270482606647233,6.647058823529412,55,2023-04-18 00:00:00,2023-06-12 00:00:00,0,2021-02-23 00:00:00,2021-02-23 00:00:00
Pure XGB-FS,0.38564378118362663,0.08094406664753628,0.21158284962931836,0.23186295272754764,-0.019096703378053137,-0.045937168071814805,0.4888332162270291,0.24300818891015344,-0.3330919299903241,488,33.996212121212125,8,9,0.012281427906159378,-0.009342946825422901,1.0798862159045124,63.16287878787878,262,0.2481060606060606,-0.02136913775099555,-0.031907908123226816,6.083969465648855,56,2023-04-18 00:00:00,2023-06-13 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
MLP + PCA,-0.48101773101837153,-0.14488399856091472,0.19383876279881443,-0.9559372100716705,-0.21965605892806817,-0.2332216236332556,-0.8524292229731182,-0.24515192799170443,-0.5909967739100032,9,26.89393939393939,8,8,0.011999284032561569,-0.010184667231727366,0.838598216144321,55.39772727272727,201,0.1903409090909091,-0.022461905598037783,-0.032209118642025684,7.02,39,2024-07-26 00:00:00,2024-09-03 00:00:00,0,2020-12-28 00:00:00,2020-12-28 00:00:00
Pure MLP + PCA,-0.4108846725155638,-0.11862355329857321,0.21107692898981859,-0.7345702011885943,-0.20757810277848665,-0.22140472947094303,-0.6635857984648698,-0.22122607022207605,-0.5362096482548097,25,29.166666666666668,8,10,0.01246590780074942,-0.010159611430110255,0.8788789713811515,58.333333333333336,249,0.23579545454545456,-0.023895493295954525,-0.03415295640254884,5.758064516129032,39,2024-07-26 00:00:00,2024-09-03 00:00:00,0,2020-12-28 00:00:00,2020-12-28 00:00:00
RF with signal,0.31975588050216674,0.0684498832038607,0.19102676201489083,0.19595818639165202,-0.01606596330628207,-0.03997516895293107,0.4178473955086527,0.2158912260041426,-0.3170572721771808,627,33.23863636363637,9,9,0.011097141281140938,-0.010547083991833907,1.0766925476799722,61.458333333333336,94,0.08901515151515152,-0.01984196903394784,-0.03003757141802834,18.595744680851062,158,2023-04-13 00:00:00,2023-09-18 00:00:00,0,2021-01-13 00:00:00,2021-01-13 00:00:00
XGB with signal,-0.08931036795486424,-0.02207781595468794,0.21567357421100491,-0.23691493354624027,-0.12012789529576118,-0.13995417822897627,-0.12731772754544868,-0.04446460648820002,-0.4965256121303341,43,34.46969696969697,7,10,0.012048693500530092,-0.01041692456573426,0.9791142371171632,67.04545454545455,178,0.16856060606060605,-0.022886175242948087,-0.033832938132379864,10.168539325842696,49,2023-11-02 00:00:00,2023-12-21 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
MLP + PCA with signal,0.06339783417541489,0.01477692167813549,0.20081806919014183,-0.07027714759485762,-0.07890397374646785,-0.09567938541117704,0.09083277101507328,0.03470747642615452,-0.42575615399683864,15,32.57575757575758,8,10,0.011716667551204199,-0.009752000865420529,1.0154870971929726,62.689393939393945,181,0.17140151515151514,-0.021510301076157753,-0.030799361973768553,9.422222222222222,42,2024-04-05 00:00:00,2024-05-17 00:00:00,0,2021-02-25 00:00:00,2021-02-25 00:00:00
Pure RF with signal,0.3583823193629452,0.07583059593615471,0.19404403526198977,0.22837973616251064,-0.01142974019230647,-0.03585476701125323,0.46243017275044973,0.2701487010117418,-0.28069946533949386,233,33.996212121212125,9,9,0.011126307344275294,-0.010330671753181224,1.083050537818068,62.59469696969697,114,0.10795454545454546,-0.020309573163250424,-0.03035208833067165,15.491228070175438,119,2023-04-13 00:00:00,2023-08-10 00:00:00,0,2021-01-13 00:00:00,2021-01-13 00:00:00
