Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
XGB,0.10392802740234397,0.023875678517868204,0.16856032646913158,-0.03076526815804807,-0.07279333607557992,-0.06901917869206442,0.17146074975513528,0.055894166699761084,-0.427158680907041,694,38.446969696969695,11,6,0.008995898887613275,-0.008460619512408472,1.0278249221118811,70.26515151515152,172,0.16287878787878787,-0.018118350780103022,-0.026715495073341766,11.162790697674419,115,2023-02-17 00:00:00,2023-06-12 00:00:00,0,2020-11-17 00:00:00,2020-11-17 00:00:00
XGB-FS,0.10038135329040387,0.02308972617136673,0.1775309729394391,-0.0335357485137686,-0.08099710025586981,-0.07629770598201524,0.15615500866080703,0.05139861437917103,-0.44922857260377236,67,40.81439393939394,10,6,0.008926851584814342,-0.008911677502428718,1.025496132727738,73.48484848484848,156,0.14772727272727273,-0.019013721312080182,-0.028413789000778317,12.987179487179487,135,2024-01-31 00:00:00,2024-06-14 00:00:00,0,2021-03-29 00:00:00,2021-03-29 00:00:00
Pure XGB,0.227242816549988,0.050079187384223456,0.17882634689192775,0.11235253286403248,-0.057077776847439976,-0.05335317326860611,0.36026706636219186,0.13708022944181034,-0.3653275719492558,597,41.28787878787879,11,9,0.009357011735796023,-0.008089534605757951,1.0528454214598781,75.2840909090909,244,0.23106060606060605,-0.01983769278678259,-0.027932848224074054,8.049180327868852,115,2023-02-17 00:00:00,2023-06-12 00:00:00,0,2020-11-17 00:00:00,2020-11-17 00:00:00
Pure XGB-FS,0.19814672028075986,0.044083762471160304,0.18794765136734656,0.07642988871912897,-0.07089359865412848,-0.06594955807604641,0.2997310215689154,0.09840288467110296,-0.4479925829258333,668,42.89772727272727,10,8,0.009412560572775862,-0.008506487450529522,1.044274042866454,77.36742424242425,236,0.22348484848484848,-0.02085669433776298,-0.029388335652140468,8.601694915254237,135,2024-01-31 00:00:00,2024-06-14 00:00:00,0,2021-03-08 00:00:00,2021-03-08 00:00:00
MLP + PCA,-0.145228178059693,-0.03675452212455699,0.14275037137705918,-0.46411452783919954,-0.11178845452374053,-0.10715608704226309,-0.24744859798290667,-0.10318352222502948,-0.356205344923197,9,23.863636363636363,9,7,0.009101724554171057,-0.008168517694125165,0.9359652401808872,44.31818181818182,169,0.16003787878787878,-0.014581641988360834,-0.024563087743455014,6.714285714285714,36,2024-02-21 00:00:00,2024-03-28 00:00:00,0,2021-01-26 00:00:00,2021-01-26 00:00:00
Pure MLP + PCA,0.0005560784936518015,0.00013267246754633533,0.17426834678607883,-0.1644126952625701,-0.10038034660776074,-0.09434874279282701,0.0008647010278483205,0.0004657661088277843,-0.284847834635797,109,29.545454545454547,8,8,0.010607263142111351,-0.00841961876946423,1.0001680081687512,56.34469696969697,222,0.21022727272727273,-0.017498939309995652,-0.028533518114516092,6.288288288288288,29,2022-11-08 00:00:00,2022-12-07 00:00:00,0,2021-01-26 00:00:00,2021-01-26 00:00:00
RF with signal,0.42147091380371005,0.08754900540526656,0.18635935912253923,0.29597555688286387,-0.0304153507883681,-0.025935871740959016,0.6292846473790099,0.22625955652007335,-0.38694058607641335,606,46.21212121212121,11,6,0.0092016222887902,-0.009470708207442738,1.0849764983931225,84.46969696969697,70,0.06628787878787878,-0.020867186069508638,-0.027855491113477095,35.2,163,2021-05-18 00:00:00,2021-10-28 00:00:00,0,2022-04-12 00:00:00,2022-04-12 00:00:00
XGB with signal,0.3125753985357651,0.06705976340943454,0.1802872033065691,0.20045739948147365,-0.04364337532321039,-0.038835187685348216,0.4503433072412985,0.17174699844274818,-0.3904566834790355,553,41.28787878787879,10,6,0.009182956613383095,-0.008719107296957794,1.0728851410620117,73.48484848484848,178,0.16856060606060605,-0.019657955065650882,-0.028839226935303698,11.134831460674157,135,2024-01-31 00:00:00,2024-06-14 00:00:00,0,2020-11-13 00:00:00,2020-11-13 00:00:00
MLP + PCA with signal,0.08410145301025373,0.019457111448276665,0.15876486263543121,-0.05992638925422944,-0.07171071507025395,-0.06608937636257894,0.13736021691378392,0.04855073551780475,-0.4007583250956366,6,28.693181818181817,6,7,0.009955199110229691,-0.007977374566368654,1.0275069692225338,55.3030303030303,176,0.16666666666666666,-0.01627170194108175,-0.0260145849363192,8.306818181818182,54,2022-09-29 00:00:00,2022-11-22 00:00:00,0,2020-12-14 00:00:00,2020-12-14 00:00:00
Pure RF with signal,0.37982380101379376,0.07985887779661272,0.19165150269611833,0.25079611163568943,-0.042502706894114506,-0.03732720388079369,0.553063404244544,0.19207322707263882,-0.4157730830773799,622,47.63257575757576,11,9,0.009234230580042748,-0.009438563692508764,1.0744774637368146,86.5530303030303,98,0.0928030303030303,-0.02165591533127244,-0.02908501005239779,25.591836734693878,162,2024-01-03 00:00:00,2024-06-13 00:00:00,0,2022-02-22 00:00:00,2022-02-22 00:00:00
