Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_75_3_10,-0.1844169407080669,0.8229,866.1421416992129,0.0691,Weak model,True,75,3,10
xgb_75_5_10,-0.15668217934092277,0.8522,428.1167741776477,0.3424,Weak model,True,75,5,10
mlp_pca_50_50_20,0.21962214697837235,0.7934,-509.7655934358613,0.3049,Weak model,True,50,50,20
mlp_pca_50_3_20,-0.019467693637370553,0.981,341.81364428700556,0.4181,Weak model,True,50,3,20
xgb_nogarch_8_10,-0.36945279843643375,0.6702,273.80353197985784,0.5079,Weak model,False,,8,10
xgb_nogarch_8_20,-0.08892940685342465,0.923,652.6962550953258,0.1647,Weak model,False,,8,20
xgb_nogarch_8_50,-0.11761784610549963,0.8949,716.0126755325448,0.1184,Weak model,False,,8,50
xgb_nogarch_50_5,-0.47793147280679427,0.5812,-722.0132355355479,0.0686,Weak model,False,,50,5
xgb_nogarch_50_10,-0.2992321635978268,0.7302,-130.0399301280896,0.7611,Weak model,False,,50,10
xgb_nogarch_50_20,-0.015035127283407834,0.9885,160.32194672016843,0.7417,Weak model,False,,50,20
xgb_nogarch_50_50,-0.04388823284398846,0.9595,229.50845279482888,0.6289,Weak model,False,,50,50
mlp_pca_50_3_5,-0.09928909551725129,0.8996,-103.4912363330231,0.8017,Weak model,True,50,3,5
mlp_pca_50_3_10,0.03441794918768104,0.9637,141.56002098318538,0.7369,Weak model,True,50,3,10
mlp_pca_50_3_50,-0.019467693637370553,0.981,341.81364428700556,0.4181,Weak model,True,50,3,50
xgb_75_5_20,0.10633126153364225,0.9031,752.7543907968422,0.1203,Weak model,True,75,5,20
mlp_pca_50_5_5,0.06614811876899795,0.9309,-559.4370769841944,0.2243,Weak model,True,50,5,5
mlp_pca_50_5_10,0.22695954364585913,0.7742,-242.11895351715205,0.6174,Weak model,True,50,5,10
mlp_pca_50_5_20,0.14846281116004578,0.8524,-33.65555607293169,0.9438,Weak model,True,50,5,20
mlp_pca_50_5_50,0.14846281116004578,0.8524,-33.65555607293169,0.9438,Weak model,True,50,5,50
mlp_pca_50_8_5,-0.002790606433184628,0.997,-362.02294012429525,0.3961,Weak model,True,50,8,5
mlp_pca_50_8_10,0.1546717835072543,0.8453,-99.11349873150624,0.8241,Weak model,True,50,8,10
mlp_pca_50_8_20,0.07620152212225662,0.9255,100.38597281249542,0.8147,Weak model,True,50,8,20
mlp_pca_50_8_50,0.07620152212225662,0.9255,100.38597281249542,0.8147,Weak model,True,50,8,50
mlp_pca_50_50_10,0.32947550707393236,0.6877,-738.3203049848415,0.1467,Weak model,True,50,50,10
xgb_nogarch_8_5,-0.5493717079987467,0.5243,-261.2669787380066,0.5046,Weak model,False,,8,5
xgb_nogarch_5_10,-0.48473210561145397,0.5759,679.0218079948631,0.1406,Weak model,False,,5,10
xgb_nogarch_5_5,-0.6809968750190767,0.4292,-62.3092901476124,0.8773,Weak model,False,,5,5
xgb_nogarch_3_5,-0.6280922891969245,0.4642,248.37877990682466,0.5918,Weak model,False,,3,5
xgb_75_8_5,-0.27128796980112835,0.7537,-385.18669722886,0.3392,Weak model,True,75,8,5
xgb_75_8_10,-0.0200538983161066,0.9816,77.99523651309067,0.86,Weak model,True,75,8,10
xgb_75_8_20,0.13281070942302442,0.8854,491.0417743016033,0.2745,Weak model,True,75,8,20
xgb_75_8_50,0.021683538350660836,0.981,721.9234057284398,0.0701,Weak model,True,75,8,50
xgb_75_50_10,0.18145136885276214,0.8409,-627.7394194734927,0.1607,Weak model,True,75,50,10
xgb_75_50_20,0.3802584795736952,0.6741,-285.66593581777516,0.5562,Weak model,True,75,50,20
xgb_75_50_50,0.2687875827592583,0.7688,14.330586784327188,0.9732,Weak model,True,75,50,50
bb_pure_3_10,-0.13735130748530444,0.8709,70.28518935507788,0.7926,Weak model,False,,3,10
xgb_90_5_5,-0.4998588158892274,0.5579,-384.04211172199894,0.3411,Weak model,True,90,5,5
xgb_90_5_10,-0.3427146492867289,0.6907,396.77038012176797,0.3644,Weak model,True,90,5,10
xgb_90_5_20,0.030163762918555603,0.9723,683.3667977463009,0.1702,Weak model,True,90,5,20
xgb_90_5_50,-0.04644011366367384,0.9551,713.6638933802428,0.1244,Weak model,True,90,5,50
xgb_90_8_5,-0.3326586280819527,0.7025,-527.8388702242329,0.1645,Weak model,True,90,8,5
xgb_90_8_10,-0.23552809111367912,0.7893,56.46454328402811,0.8905,Weak model,True,90,8,10
xgb_90_8_20,0.036857793042749276,0.9705,374.0333350864722,0.4085,Weak model,True,90,8,20
xgb_90_8_50,-0.010326168009522574,0.9904,377.1312155779556,0.3804,Weak model,True,90,8,50
xgb_90_50_10,-0.0015811422596110347,0.9983,-412.46159800571064,0.3267,Weak model,True,90,50,10
xgb_90_50_20,0.2439659695396541,0.7903,-173.7566016864293,0.7161,Weak model,True,90,50,20
xgb_90_50_50,0.1967175075320874,0.83,-161.87460252970544,0.7221,Weak model,True,90,50,50
xgb_sig_75_3_20,0.2975468437022847,0.7316,515.5227237572199,0.3656,Weak model,True,75,3,20
xgb_sig_75_5_5,-0.19232365384364802,0.8202,-680.0386933920236,0.1092,Weak model,True,75,5,5
mlp_nogarch_8_10,-0.5128035779101218,0.54,-606.4096991713226,0.2614,Weak model,False,,8,10
xgb_sig_fs_nogarch_5_10,-0.48473210561145397,0.5759,679.0218079948631,0.1406,Weak model,False,,5,10
xgb_sig_fs_90_8_5,-0.3326586280819527,0.7025,-527.8388702242329,0.1645,Weak model,True,90,8,5
xgb_sig_fs_90_8_10,-0.23552809111367912,0.7893,56.46454328402811,0.8905,Weak model,True,90,8,10
xgb_sig_fs_90_8_20,0.036857793042749276,0.9705,374.0333350864722,0.4085,Weak model,True,90,8,20
xgb_sig_fs_90_8_50,-0.010326168009522574,0.9904,377.1312155779556,0.3804,Weak model,True,90,8,50
xgb_sig_fs_90_50_10,-0.0015811422596110347,0.9983,-412.46159800571064,0.3267,Weak model,True,90,50,10
xgb_sig_fs_90_50_20,0.2439659695396541,0.7903,-173.7566016864293,0.7161,Weak model,True,90,50,20
xgb_sig_fs_90_50_50,0.1967175075320874,0.83,-161.87460252970544,0.7221,Weak model,True,90,50,50
xgb_sig_fs_nogarch_3_5,-0.6280922891969245,0.4642,248.37877990682466,0.5918,Weak model,False,,3,5
xgb_sig_fs_nogarch_5_5,-0.6809968750190767,0.4292,-62.3092901476124,0.8773,Weak model,False,,5,5
xgb_sig_fs_nogarch_8_5,-0.5493717079987467,0.5243,-261.2669787380066,0.5046,Weak model,False,,8,5
xgb_sig_fs_90_5_20,0.030163762918555603,0.9723,683.3667977463009,0.1702,Weak model,True,90,5,20
xgb_sig_fs_nogarch_8_10,-0.36945279843643375,0.6702,273.80353197985784,0.5079,Weak model,False,,8,10
xgb_sig_fs_nogarch_8_20,-0.08892940685342465,0.923,652.6962550953258,0.1647,Weak model,False,,8,20
xgb_sig_fs_nogarch_8_50,-0.11761784610549963,0.8949,716.0126755325448,0.1184,Weak model,False,,8,50
xgb_sig_fs_nogarch_50_5,-0.47793147280679427,0.5812,-722.0132355355479,0.0686,Weak model,False,,50,5
xgb_sig_fs_nogarch_50_10,-0.2992321635978268,0.7302,-130.0399301280896,0.7611,Weak model,False,,50,10
xgb_sig_fs_nogarch_50_20,-0.015035127283407834,0.9885,160.32194672016843,0.7417,Weak model,False,,50,20
xgb_sig_fs_nogarch_50_50,-0.04388823284398846,0.9595,229.50845279482888,0.6289,Weak model,False,,50,50
mlp_pca_sig_50_3_5,-0.1532183781107047,0.8441,456.72001106249445,0.3281,Weak model,True,50,3,5
mlp_pca_sig_50_5_5,-0.24094805880351333,0.7598,5.206950595795263,0.9904,Weak model,True,50,5,5
xgb_sig_fs_90_5_50,-0.04644011366367384,0.9551,713.6638933802428,0.1244,Weak model,True,90,5,50
xgb_sig_fs_90_5_10,-0.3427146492867289,0.6907,396.77038012176797,0.3644,Weak model,True,90,5,10
xgb_sig_75_5_10,0.05233809070334594,0.9507,232.66696800046793,0.6233,Weak model,True,75,5,10
xgb_sig_fs_75_5_5,-0.2973011794609577,0.722,-433.60767813529765,0.2941,Weak model,True,75,5,5
xgb_sig_fs_50_8_10,-0.07355033851776016,0.928,106.84996640122199,0.7354,Weak model,True,50,8,10
xgb_sig_fs_50_8_20,0.12489340430468043,0.8864,360.82293896054307,0.256,Weak model,True,50,8,20
