Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
rf_nofs_nogarch_5_10,-0.17350264208413557,0.642,11.236369760209328,0.7527,Weak model,False,,5,10
rf_nofs_nogarch_5_5,-0.13615741490495847,0.7203,-37.40045133073643,0.3213,Weak model,False,,5,5
rf_nofs_nogarch_3_50,-0.06001731767060159,0.8722,60.7142308179045,0.0736,Weak model,False,,3,50
rf_nofs_nogarch_3_20,-0.06001731767060159,0.8722,60.7142308179045,0.0736,Weak model,False,,3,20
rf_nofs_nogarch_3_10,-0.15292206721396417,0.6881,63.581061331919756,0.0924,Weak model,False,,3,10
rf_nofs_nogarch_3_5,-0.22468144296626646,0.5456,49.3564414085653,0.2068,Weak model,False,,3,5
rf_nofs_90_50_50,-0.009962920044331747,0.9779,13.016368870383326,0.5752,Weak model,True,90,50,50
rf_nofs_90_50_20,-0.012556113017608506,0.973,9.806290579263973,0.6888,Weak model,True,90,50,20
rf_nofs_90_50_10,-0.013321361110020358,0.9715,-15.042081255209922,0.5563,Weak model,True,90,50,10
rf_nofs_90_5_50,-0.1014667089214476,0.7873,51.09158809447775,0.0612,Weak model,True,90,5,50
rf_nofs_90_8_50,-0.07966368808133173,0.8367,21.100372370299482,0.4024,Weak model,True,90,8,50
rf_nofs_90_8_20,-0.06227707783017711,0.8745,9.660696936230208,0.7194,Weak model,True,90,8,20
xgb_nofs_50_5_10,-0.2908110517561985,0.4138,17.72682577869179,0.5224,Weak model,True,50,5,10
xgb_nofs_50_5_20,-0.2336762244920927,0.5251,36.74611314131571,0.1522,Weak model,True,50,5,20
rf_nofs_90_3_5,-0.16928651082029444,0.6432,31.198925124871952,0.3821,Weak model,True,90,3,5
xgb_nofs_75_5_10,-0.3049576779799865,0.3976,37.2098299099278,0.2311,Weak model,True,75,5,10
xgb_nofs_75_50_50,-0.13849157193271222,0.7147,0.9782413667055891,0.9688,Weak model,True,75,50,50
xgb_nofs_75_50_20,-0.13849157193271222,0.7147,0.9782413667055891,0.9688,Weak model,True,75,50,20
rf_nofs_75_8_5,-0.13191901752983604,0.7284,-23.475489339773695,0.3933,Weak model,True,75,8,5
rf_nofs_75_8_10,-0.02853561654708614,0.9399,-13.793249114198805,0.5868,Weak model,True,75,8,10
xgb_nofs_75_50_10,-0.1566249087293946,0.6796,-7.333887199663199,0.7955,Weak model,True,75,50,10
xgb_nofs_75_8_50,-0.19739818693525324,0.6035,6.801086317645732,0.802,Weak model,True,75,8,50
xgb_nofs_75_8_20,-0.19739818693525324,0.6035,6.801086317645732,0.802,Weak model,True,75,8,20
xgb_nofs_75_8_10,-0.21561960415731496,0.5663,-1.0249445336806993,0.9712,Weak model,True,75,8,10
xgb_nofs_75_8_5,-0.11912577454265072,0.7484,-60.27087347022352,0.0637,Weak model,True,75,8,5
